ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6356,James,Wiseman,C,GS,DAL,GS@DAL,7:30PM EST,10,21.5,INJ," "
nba.p.6549,Jonathan,Kuminga,SF,GS,DAL,GS@DAL,7:30PM EST,10,7.7," "," "
nba.p.6556,Moses,Moody,SF,GS,DAL,GS@DAL,7:30PM EST,10,4.2," "," "
nba.p.4942,Isaiah,Thomas,PG,DAL,GS,GS@DAL,7:30PM EST,10,13.7,INJ," "
nba.p.5160,Trey,Burke,PG,DAL,GS,GS@DAL,7:30PM EST,11,12.7,INJ," "
nba.p.5194,Tim,Hardaway Jr.,SG,DAL,GS,GS@DAL,7:30PM EST,20,25.5," "," "
nba.p.5195,Reggie,Bullock,SG,DAL,GS,GS@DAL,7:30PM EST,10,12.1," "," "
nba.p.5356,Dwight,Powell,C,DAL,GS,GS@DAL,7:30PM EST,10,15.8," "," "
nba.p.5464,Kristaps,Porzingis,PF,DAL,GS,GS@DAL,7:30PM EST,42,39.6,INJ," "
nba.p.5466,Willie,Cauley-Stein,C,DAL,GS,GS@DAL,7:30PM EST,10,6.3,INJ," "
nba.p.5524,Boban,Marjanovic,C,DAL,GS,GS@DAL,7:30PM EST,10,7.1,INJ," "
nba.p.5639,Marquese,Chriss,C,DAL,GS,GS@DAL,7:30PM EST,10,14.4," "," "
nba.p.5693,Dorian,Finney-Smith,SF,DAL,GS,GS@DAL,7:30PM EST,18,23.6," "," "
nba.p.5821,Frank,Ntilikina,PG,DAL,GS,GS@DAL,7:30PM EST,10,11.2," "," "
nba.p.5859,Sterling,Brown,SG,DAL,GS,GS@DAL,7:30PM EST,10,10.8," "," "
nba.p.5892,Maxi,Kleber,PF,DAL,GS,GS@DAL,7:30PM EST,10,19.2," "," "
nba.p.6014,Luka,Doncic,PG,DAL,GS,GS@DAL,7:30PM EST,49,48.2," "," "
nba.p.6044,Jalen,Brunson,PG,DAL,GS,GS@DAL,7:30PM EST,25,29.9," "," "
nba.p.6083,Theo,Pinson,SF,DAL,GS,GS@DAL,7:30PM EST,10,9.6," "," "
nba.p.6289,Moses,Brown,C,DAL,GS,GS@DAL,7:30PM EST,10,7.2," "," "
nba.p.6410,Josh,Green,SF,DAL,GS,GS@DAL,7:30PM EST,10,8.4," "," "
nba.p.6635,JaQuori,McLaughlin,SG,DAL,GS,GS@DAL,7:30PM EST,10,0.8," "," "
nba.p.4136,Rudy,Gay,SF,UTA,DEN,UTA@DEN,10:00PM EST,10,17.4," "," "
nba.p.4246,Mike,Conley,PG,UTA,DEN,UTA@DEN,10:00PM EST,23,28.3," "," "
nba.p.4764,Hassan,Whiteside,C,UTA,DEN,UTA@DEN,10:00PM EST,12,19.8,GTD," "
nba.p.4913,Bojan,Bogdanovic,SF,UTA,DEN,UTA@DEN,10:00PM EST,19,24.6,GTD," "
nba.p.5197,Rudy,Gobert,C,UTA,DEN,UTA@DEN,10:00PM EST,39,42.5,GTD," "
nba.p.5357,Jordan,Clarkson,PG,UTA,DEN,UTA@DEN,10:00PM EST,18,23.9,GTD," "
nba.p.5393,Joe,Ingles,SG,UTA,DEN,UTA@DEN,10:00PM EST,10,17.4,INJ," "
nba.p.5826,Donovan,Mitchell,SG,UTA,DEN,UTA@DEN,10:00PM EST,35,40.8,GTD," "
nba.p.5905,Royce,O'Neale,PF,UTA,DEN,UTA@DEN,10:00PM EST,10,21.1,GTD," "
nba.p.6229,Eric,Paschall,PF,UTA,DEN,UTA@DEN,10:00PM EST,10,6.4," "," "
nba.p.6246,Miye,Oni,SG,UTA,DEN,UTA@DEN,10:00PM EST,10,1.2," "," "
nba.p.6419,Udoka,Azubuike,C,UTA,DEN,UTA@DEN,10:00PM EST,10,1.5,INJ," "
nba.p.6431,Elijah,Hughes,SG,UTA,DEN,UTA@DEN,10:00PM EST,10,0.4," "," "
nba.p.6464,Trent,Forrest,SG,UTA,DEN,UTA@DEN,10:00PM EST,10,4.1," "," "
nba.p.6480,Malik,Fitts,SF,UTA,DEN,UTA@DEN,10:00PM EST,10,0.6," "," "
nba.p.6582,Jared,Butler,PG,UTA,DEN,UTA@DEN,10:00PM EST,10,4.4," "," "
nba.p.4247,Jeff,Green,PF,DEN,UTA,UTA@DEN,10:00PM EST,10,16.5,INJ," "
nba.p.5016,Austin,Rivers,SG,DEN,UTA,UTA@DEN,10:00PM EST,10,9.7,GTD," "
nba.p.5074,Will,Barton,SG,DEN,UTA,UTA@DEN,10:00PM EST,20,29.8," "," "
nba.p.5262,JaMychal,Green,C,DEN,UTA,UTA@DEN,10:00PM EST,10,13.7," "," "
nba.p.5295,Aaron,Gordon,SF,DEN,UTA,UTA@DEN,10:00PM EST,20,26.6," "," "
nba.p.5352,Nikola,Jokic,C,DEN,UTA,UTA@DEN,10:00PM EST,56,55.6," "," "
nba.p.5638,Jamal,Murray,PG,DEN,UTA,UTA@DEN,10:00PM EST,10,35.9,INJ," "
nba.p.5684,Petr,Cornelie,PF,DEN,UTA,UTA@DEN,10:00PM EST,10,2.9," "," "
nba.p.5845,Davon,Reed,SG,DEN,UTA,UTA@DEN,10:00PM EST,10,14.5," "," "
nba.p.5862,Vlatko,Cancar,SF,DEN,UTA,UTA@DEN,10:00PM EST,10,8.2,INJ," "
nba.p.5864,Monte,Morris,PG,DEN,UTA,UTA@DEN,10:00PM EST,18,23.7,INJ," "
nba.p.5886,PJ,Dozier,SF,DEN,UTA,UTA@DEN,10:00PM EST,10,14.1,INJ," "
nba.p.6025,Michael,Porter Jr.,SF,DEN,UTA,UTA@DEN,10:00PM EST,10,23.3,INJ," "
nba.p.6232,Bol,Bol,PF,DEN,UTA,UTA@DEN,10:00PM EST,10,5.6," "," "
nba.p.6414,Zeke,Nnaji,PF,DEN,UTA,UTA@DEN,10:00PM EST,10,11.4,INJ," "
nba.p.6466,Markus,Howard,SG,DEN,UTA,UTA@DEN,10:00PM EST,10,5.9,INJ," "
