ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6053,Bruce,Brown,SF,BKN,MEM,MEM@BKN,7:30PM EST,10,18.0," "," "
nba.p.6219,Nicolas,Claxton,C,BKN,MEM,MEM@BKN,7:30PM EST,18,20.9," "," "
nba.p.6569,Cameron,Thomas,SG,BKN,MEM,MEM@BKN,7:30PM EST,10,11.2," "," "
nba.p.6571,Day'Ron,Sharpe,PF,BKN,MEM,MEM@BKN,7:30PM EST,10,7.3," "," "
nba.p.6586,Kessler,Edwards,SF,BKN,MEM,MEM@BKN,7:30PM EST,10,18.8," "," "
nba.p.6624,David,Duke Jr.,SG,BKN,MEM,MEM@BKN,7:30PM EST,10,24.1," "," "
nba.p.6271,Dakota,Mathias,PG,MEM,BKN,MEM@BKN,7:30PM EST,10,0.0," "," "
nba.p.6276,DaQuan,Jeffries,SG,MEM,BKN,MEM@BKN,7:30PM EST,10,9.9," "," "
nba.p.4247,Jeff,Green,PF,DEN,DAL,DEN@DAL,8:30PM EST,10,16.5,INJ," "
nba.p.5016,Austin,Rivers,SG,DEN,DAL,DEN@DAL,8:30PM EST,10,10.1,GTD," "
nba.p.5074,Will,Barton,SG,DEN,DAL,DEN@DAL,8:30PM EST,20,30.0," "," "
nba.p.5262,JaMychal,Green,C,DEN,DAL,DEN@DAL,8:30PM EST,10,13.9," "," "
nba.p.5295,Aaron,Gordon,SF,DEN,DAL,DEN@DAL,8:30PM EST,20,26.5," "," "
nba.p.5352,Nikola,Jokic,C,DEN,DAL,DEN@DAL,8:30PM EST,56,55.7," "," "
nba.p.5638,Jamal,Murray,PG,DEN,DAL,DEN@DAL,8:30PM EST,10,35.9,INJ," "
nba.p.5684,Petr,Cornelie,PF,DEN,DAL,DEN@DAL,8:30PM EST,10,2.8," "," "
nba.p.5845,Davon,Reed,SG,DEN,DAL,DEN@DAL,8:30PM EST,10,15.2," "," "
nba.p.5862,Vlatko,Cancar,SF,DEN,DAL,DEN@DAL,8:30PM EST,10,8.6,GTD," "
nba.p.5864,Monte,Morris,PG,DEN,DAL,DEN@DAL,8:30PM EST,18,23.7,INJ," "
nba.p.5886,PJ,Dozier,SF,DEN,DAL,DEN@DAL,8:30PM EST,10,14.1,INJ," "
nba.p.6025,Michael,Porter Jr.,SF,DEN,DAL,DEN@DAL,8:30PM EST,10,23.3,INJ," "
nba.p.6232,Bol,Bol,PF,DEN,DAL,DEN@DAL,8:30PM EST,10,5.6," "," "
nba.p.6414,Zeke,Nnaji,PF,DEN,DAL,DEN@DAL,8:30PM EST,10,11.4,INJ," "
nba.p.6466,Markus,Howard,SG,DEN,DAL,DEN@DAL,8:30PM EST,10,5.9,INJ," "
nba.p.6468,Facundo,Campazzo,PG,DEN,DAL,DEN@DAL,8:30PM EST,16,18.8," "," "
nba.p.6568,Bones,Hyland,PG,DEN,DAL,DEN@DAL,8:30PM EST,10,14.7,INJ," "
nba.p.4889,Brandon,Knight,SG,DAL,DEN,DEN@DAL,8:30PM EST,10,16.5," "," "
nba.p.5160,Trey,Burke,PG,DAL,DEN,DEN@DAL,8:30PM EST,11,12.7,INJ," "
nba.p.5194,Tim,Hardaway Jr.,SG,DAL,DEN,DEN@DAL,8:30PM EST,21,25.9," "," "
nba.p.5195,Reggie,Bullock,SG,DAL,DEN,DEN@DAL,8:30PM EST,10,11.8," "," "
nba.p.5356,Dwight,Powell,C,DAL,DEN,DEN@DAL,8:30PM EST,10,15.7," "," "
nba.p.5464,Kristaps,Porzingis,PF,DAL,DEN,DEN@DAL,8:30PM EST,42,39.6,INJ," "
nba.p.5466,Willie,Cauley-Stein,C,DAL,DEN,DEN@DAL,8:30PM EST,10,6.3,INJ," "
nba.p.5524,Boban,Marjanovic,C,DAL,DEN,DEN@DAL,8:30PM EST,10,7.1,INJ," "
nba.p.5639,Marquese,Chriss,C,DAL,DEN,DEN@DAL,8:30PM EST,10,15.9," "," "
nba.p.5693,Dorian,Finney-Smith,SF,DAL,DEN,DEN@DAL,8:30PM EST,20,23.9," "," "
nba.p.5821,Frank,Ntilikina,PG,DAL,DEN,DEN@DAL,8:30PM EST,10,11.5," "," "
nba.p.5859,Sterling,Brown,SG,DAL,DEN,DEN@DAL,8:30PM EST,10,11.0," "," "
nba.p.5892,Maxi,Kleber,PF,DAL,DEN,DEN@DAL,8:30PM EST,10,18.8," "," "
nba.p.6014,Luka,Doncic,PG,DAL,DEN,DEN@DAL,8:30PM EST,49,47.5," "," "
nba.p.6044,Jalen,Brunson,PG,DAL,DEN,DEN@DAL,8:30PM EST,27,30.0," "," "
nba.p.6070,George,King,SG,DAL,DEN,DEN@DAL,8:30PM EST,10,1.5," "," "
nba.p.6083,Theo,Pinson,SF,DAL,DEN,DEN@DAL,8:30PM EST,10,11.0," "," "
nba.p.6289,Moses,Brown,C,DAL,DEN,DEN@DAL,8:30PM EST,10,7.2," "," "
nba.p.6293,Charlie,Brown,SF,DAL,DEN,DEN@DAL,8:30PM EST,10,4.6," "," "
nba.p.6410,Josh,Green,SF,DAL,DEN,DEN@DAL,8:30PM EST,10,8.6," "," "
nba.p.6635,JaQuori,McLaughlin,SG,DAL,DEN,DEN@DAL,8:30PM EST,10,0.8,INJ," "
nba.p.6639,Carlik,Jones,PG,DEN,DAL,DEN@DAL,8:30PM EST,10,3.3," "," "
nba.p.4942,Isaiah,Thomas,PG,DAL,DEN,DEN@DAL,8:30PM EST,10,13.7,INJ," "
nba.p.6337,Rayjon,Tucker,SF,DEN,DAL,DEN@DAL,8:30PM EST,10,6.6," "," "
nba.p.3765,Udonis,Haslem,PF,MIA,GS,MIA@GS,10:00PM EST,10,6.4,INJ," "
nba.p.4152,Kyle,Lowry,PG,MIA,GS,MIA@GS,10:00PM EST,30,32.7," "," "
